0	INC	0	0	6	1	1	6	0	0	0	0	0	0	0
1	LIT	0	0	6	2	1	6	0	0	0	0	0	0	0
2	STO	0	0	4	3	1	6	0	0	0	0	0	6	0
3	LOD	0	0	4	4	1	6	0	0	0	0	0	6	0
4	LIT	1	0	0	5	1	6	0	0	0	0	0	6	0
5	GTR	0	0	1	6	1	6	0	0	0	0	0	6	0
6	JPC	0	0	17	7	1	6	0	0	0	0	0	6	0
7	LOD	0	0	4	8	1	6	0	0	0	0	0	6	0
8	MUL	0	0	0	9	1	6	0	0	0	0	0	6	0
9	STO	0	0	5	10	1	6	0	0	0	0	0	6	36
10	LOD	0	0	4	11	1	6	0	0	0	0	0	6	36
11	LIT	1	0	1	12	1	6	0	0	0	0	0	6	36
12	SUB	0	0	1	13	1	6	0	0	0	0	0	6	36
13	STO	0	0	4	14	1	6	0	0	0	0	0	5	36
14	LOD	0	0	5	15	1	6	0	0	0	0	0	5	36
15	SIO	0	0	1	16	1	6	0	0	0	0	0	5	36
2	JMP	0	0	3	3	1	6	0	0	0	0	0	5	36
3	LOD	0	0	4	4	1	6	0	0	0	0	0	5	36
4	LIT	1	0	0	5	1	6	0	0	0	0	0	5	36
5	GTR	0	0	1	6	1	6	0	0	0	0	0	5	36
6	JPC	0	0	17	7	1	6	0	0	0	0	0	5	36
7	LOD	0	0	4	8	1	6	0	0	0	0	0	5	36
8	MUL	0	0	0	9	1	6	0	0	0	0	0	5	36
9	STO	0	0	5	10	1	6	0	0	0	0	0	5	25
10	LOD	0	0	4	11	1	6	0	0	0	0	0	5	25
11	LIT	1	0	1	12	1	6	0	0	0	0	0	5	25
12	SUB	0	0	1	13	1	6	0	0	0	0	0	5	25
13	STO	0	0	4	14	1	6	0	0	0	0	0	4	25
14	LOD	0	0	5	15	1	6	0	0	0	0	0	4	25
15	SIO	0	0	1	16	1	6	0	0	0	0	0	4	25
2	JMP	0	0	3	3	1	6	0	0	0	0	0	4	25
3	LOD	0	0	4	4	1	6	0	0	0	0	0	4	25
4	LIT	1	0	0	5	1	6	0	0	0	0	0	4	25
5	GTR	0	0	1	6	1	6	0	0	0	0	0	4	25
6	JPC	0	0	17	7	1	6	0	0	0	0	0	4	25
7	LOD	0	0	4	8	1	6	0	0	0	0	0	4	25
8	MUL	0	0	0	9	1	6	0	0	0	0	0	4	25
9	STO	0	0	5	10	1	6	0	0	0	0	0	4	16
10	LOD	0	0	4	11	1	6	0	0	0	0	0	4	16
11	LIT	1	0	1	12	1	6	0	0	0	0	0	4	16
12	SUB	0	0	1	13	1	6	0	0	0	0	0	4	16
13	STO	0	0	4	14	1	6	0	0	0	0	0	3	16
14	LOD	0	0	5	15	1	6	0	0	0	0	0	3	16
15	SIO	0	0	1	16	1	6	0	0	0	0	0	3	16
2	JMP	0	0	3	3	1	6	0	0	0	0	0	3	16
3	LOD	0	0	4	4	1	6	0	0	0	0	0	3	16
4	LIT	1	0	0	5	1	6	0	0	0	0	0	3	16
5	GTR	0	0	1	6	1	6	0	0	0	0	0	3	16
6	JPC	0	0	17	7	1	6	0	0	0	0	0	3	16
7	LOD	0	0	4	8	1	6	0	0	0	0	0	3	16
8	MUL	0	0	0	9	1	6	0	0	0	0	0	3	16
9	STO	0	0	5	10	1	6	0	0	0	0	0	3	9
10	LOD	0	0	4	11	1	6	0	0	0	0	0	3	9
11	LIT	1	0	1	12	1	6	0	0	0	0	0	3	9
12	SUB	0	0	1	13	1	6	0	0	0	0	0	3	9
13	STO	0	0	4	14	1	6	0	0	0	0	0	2	9
14	LOD	0	0	5	15	1	6	0	0	0	0	0	2	9
15	SIO	0	0	1	16	1	6	0	0	0	0	0	2	9
2	JMP	0	0	3	3	1	6	0	0	0	0	0	2	9
3	LOD	0	0	4	4	1	6	0	0	0	0	0	2	9
4	LIT	1	0	0	5	1	6	0	0	0	0	0	2	9
5	GTR	0	0	1	6	1	6	0	0	0	0	0	2	9
6	JPC	0	0	17	7	1	6	0	0	0	0	0	2	9
7	LOD	0	0	4	8	1	6	0	0	0	0	0	2	9
8	MUL	0	0	0	9	1	6	0	0	0	0	0	2	9
9	STO	0	0	5	10	1	6	0	0	0	0	0	2	4
10	LOD	0	0	4	11	1	6	0	0	0	0	0	2	4
11	LIT	1	0	1	12	1	6	0	0	0	0	0	2	4
12	SUB	0	0	1	13	1	6	0	0	0	0	0	2	4
13	STO	0	0	4	14	1	6	0	0	0	0	0	1	4
14	LOD	0	0	5	15	1	6	0	0	0	0	0	1	4
15	SIO	0	0	1	16	1	6	0	0	0	0	0	1	4
2	JMP	0	0	3	3	1	6	0	0	0	0	0	1	4
3	LOD	0	0	4	4	1	6	0	0	0	0	0	1	4
4	LIT	1	0	0	5	1	6	0	0	0	0	0	1	4
5	GTR	0	0	1	6	1	6	0	0	0	0	0	1	4
6	JPC	0	0	17	7	1	6	0	0	0	0	0	1	4
7	LOD	0	0	4	8	1	6	0	0	0	0	0	1	4
8	MUL	0	0	0	9	1	6	0	0	0	0	0	1	4
9	STO	0	0	5	10	1	6	0	0	0	0	0	1	1
10	LOD	0	0	4	11	1	6	0	0	0	0	0	1	1
11	LIT	1	0	1	12	1	6	0	0	0	0	0	1	1
12	SUB	0	0	1	13	1	6	0	0	0	0	0	1	1
13	STO	0	0	4	14	1	6	0	0	0	0	0	0	1
14	LOD	0	0	5	15	1	6	0	0	0	0	0	0	1
15	SIO	0	0	1	16	1	6	0	0	0	0	0	0	1
2	JMP	0	0	3	3	1	6	0	0	0	0	0	0	1
3	LOD	0	0	4	4	1	6	0	0	0	0	0	0	1
4	LIT	1	0	0	5	1	6	0	0	0	0	0	0	1
5	GTR	0	0	1	6	1	6	0	0	0	0	0	0	1
16	JPC	0	0	17	17	1	6	0	0	0	0	0	0	1
17	LOD	0	0	4	18	1	6	0	0	0	0	0	0	1
18	SIO	0	0	1	19	1	6	0	0	0	0	0	0	1
19	LOD	0	0	5	20	1	6	0	0	0	0	0	0	1
20	SIO	0	0	1	21	1	6	0	0	0	0	0	0	1
21	SIO	0	0	3	22	1	6	0	0	0	0	0	0	1
